artist,album,image_url
Apple.B,Woochuchu,https://i.scdn.co/image/ab67616d0000b2731f1c942e9af598fa8ac28e6f
Gfriend,Parallel,https://i.scdn.co/image/ab67616d0000b273923605728359221e72730a12
Joo Won Tak,Baby Goodnight,https://i.scdn.co/image/ab67616d0000b27393315d9aaaa3195b6b0bc11b
Park Kyung (Block B),Space Oddity Project Vol.1,https://i.scdn.co/image/ab67616d0000b2738abe5d30367a398ee7c25997
SF9,Easy Love,https://i.scdn.co/image/ab67616d0000b273eba61898e938f25ba58d8e93
ONF,ON/OFF,https://i.scdn.co/image/ab67616d0000b273b80b9939303b04c2ad167812
Samuel,Sixteen,https://i.scdn.co/image/ab67616d0000b273f2b214adc7bf9079d4476003
N.Flying,THE REAL: N.Flying,https://i.scdn.co/image/ab67616d0000b2734e6c7be5130a94689c8a2e43
THE ROSE,Sorry,https://i.scdn.co/image/ab67616d0000b2730b0adf877d22fe82b9d9d1e3
Tritops,zinnia,https://i.scdn.co/image/ab67616d0000b2739de5d9f9bb86848019874cbb
CLC,FREE'SM,https://i.scdn.co/image/ab67616d0000b2739e8538e945e00fa7b6a807fc
Nine Muses,Muses Diary Part.3 LOVE CITY,https://i.scdn.co/image/ab67616d0000b27365fbac8ae8cda20d8405de98
"Huh Gak, Apink, VICTON",Plan A Third Episode,https://i.scdn.co/image/ab67616d0000b273d25969f2ba33dd60565dd6ef
B.HEART,Summer Night,https://i.scdn.co/image/ab67616d0000b273116deb0399854b776ed71948
Primary,New Generation,https://i.scdn.co/image/ab67616d0000b2731a2cfcdd677c4460d96b5dec
Real Girls Project,PINGPONG GAME,https://i.scdn.co/image/ab67616d0000b273985be9a42e82337d4175cc51
WINNER,Our Twenty For,https://i.scdn.co/image/ab67616d0000b2732df95ba4c9afd2823e09fb4e
SNSD,Holiday Night,https://i.scdn.co/image/ab67616d0000b273ee58f0e04b175603c1f56668
Yoo Young Jin X NCT's Taeyong,CURE,https://i.scdn.co/image/ab67616d0000b27349eb77fc2d43c647d0bf1b4c
NO:EL,Supplement,https://i.scdn.co/image/ab67616d0000b273b5643d63694ced778f628ae6
Various Artists,Show Me The Money 6  Ep.1,https://i.scdn.co/image/ab67616d0000b273ba1d1f9dddb4db8442708bf2
ALi X Cheetah,Don't Speak,https://i.scdn.co/image/ab67616d0000b273f4b30ad21c258865b2835646
BLANC7,worldwide,https://i.scdn.co/image/ab67616d0000b273b2fcb82c8e7fd7798894fbca
DAY6,What Can I Do,https://i.scdn.co/image/ab67616d0000b27311b507f5373894a3f0962ce0
Wanna One,1X1=1(TO BE ONE),https://i.scdn.co/image/ab67616d0000b273da4f7ca2899d45f442addd1c
Eddy Kim,Now,https://i.scdn.co/image/ab67616d0000b2738a4a2f1d480aea27ed41095a
Juniel,Last Carnival,https://i.scdn.co/image/ab67616d0000b273cfbd5679bdc02a0a77a9b3bd
Weki Meki,WEME,https://i.scdn.co/image/ab67616d0000b273319176771443454a08a5fbf5
Jang Keun Suk,Voyage,https://i.scdn.co/image/ab67616d0000b2732d3f248b0f8b3b56fc87cf36
Jung Yonghwa (CNBLUE),Summer Calling,https://i.scdn.co/image/ab67616d0000b273659bf65f55ba2629d7d37e0b
Sung Hoon (Brown Eyed Soul) X Skull,Re-Luv,https://i.scdn.co/image/ab67616d0000b273d202ce34c77a8bfbb2f32b48
Yang Dail X Seventeen's DK,Cinematic Love,https://i.scdn.co/image/ab67616d0000b27367faccb6c9cece939dc675c1
Boyfriend,NEVER END,https://i.scdn.co/image/ab67616d0000b2736117e147df261eb00e475b9c
Jessica,My Decade,https://i.scdn.co/image/ab67616d0000b273e1f1278f2e997333231ae2f2
Ra.D,Drive Away 2,https://i.scdn.co/image/ab67616d0000b273b33806aac65d82aaa396cf78
Skull X Haha X Lee Sun Bin,Summer Gift 'One Love',https://i.scdn.co/image/ab67616d0000b2737a3800d2e5b568943285e5e5
Lee Minhyuk (BTOB),Piece of BTOB Vol.5,https://i.scdn.co/image/ab67616d0000b2737e3cee942219ea99d50d0c0b
OGUOGU (gugudan),ICE CHU,https://i.scdn.co/image/ab67616d0000b2735822b3ed3fcb964c669b53f4
Moon Hyuna X Euaerin,Doong Doong,https://i.scdn.co/image/ab67616d0000b273f7ae5e4c7cb47223a306979f
PENOMECO,HUNNIT,https://i.scdn.co/image/ab67616d0000b27309726b8fefe456e0c678a8ac
Yultron X Jay Park X Bone Thugs,Thuggin 4 My Baby,https://i.scdn.co/image/ab67616d0000b273a602aac86a96ea7d992f5a7c
myunDo,"RBG pt.(0,0,0)",https://i.scdn.co/image/ab67616d0000b27344ed2a8c8f391c4159607f94
Various Artists,Show Me The Money 6  Ep.2,https://i.scdn.co/image/ab67616d0000b273f727f45bf68f858f3862da95
DJ Juice,Love Me Harder,https://i.scdn.co/image/ab67616d0000b27395d46787547103c240c8cea1
Sonamoo,Friday Night,https://i.scdn.co/image/ab67616d0000b273a4244a9604963374df3d8ac6
DinDin,#Drive,https://i.scdn.co/image/ab67616d0000b2731bc7cb031fbbedd76fe61116
Suran,Sad Pain,https://i.scdn.co/image/ab67616d0000b2733f95a5de823a51eb38c372ec
Taeyang (Big Bang),White Night,https://i.scdn.co/image/ab67616d0000b273cdaa2ddc18b7ebd8767541f2
#GUN X Pismo,Sunflower Dance,https://i.scdn.co/image/ab67616d0000b273eeb8dff039739b834c014063
NCT Dream,We Young,https://i.scdn.co/image/ab67616d0000b273c4785245600c0c8b1a6eed0f
Jang Jane X Giant Pink X PERC%NT,LISTEN 012,https://i.scdn.co/image/ab67616d0000b273e118a0d908e1299910f6d9a6
Loco,Summer Go Loco,https://i.scdn.co/image/ab67616d0000b273d02d8248fb035afbd647dc58
Red Velvet,Rebirth,https://i.scdn.co/image/ab67616d0000b27331e0373e4903af2be9cadc4a
Ahn Ye Eun,One Day,https://i.scdn.co/image/ab67616d0000b2731f1a88773c98714ddae2c8bf
Trophy Cat X Edward Avila,Body,https://i.scdn.co/image/ab67616d0000b2730194e9ef67b50576352e00e2
IMLAY,SHURAI EP,https://i.scdn.co/image/ab67616d0000b27312b0c32736400f83f8cfc7f3
Seenroot,Together,https://i.scdn.co/image/ab67616d0000b27359d96fb855bf09ba810385c9
Show Me The Money 6,Episode 3,https://i.scdn.co/image/ab67616d0000b2738305fb940f6096fca0afa0fb
The Solutions,Love Again,https://i.scdn.co/image/ab67616d0000b2731bc37cec9e534973488bf66a
AObeats (feat. Eric Nam),Like You,https://i.scdn.co/image/ab67616d0000b273d376cf0aa9c5528531467ca8
Sunmi,SUNMI SPECIAL EDITION,https://i.scdn.co/image/ab67616d0000b273e33d84e471094fe701f06860
DIA,Love Generation,https://i.scdn.co/image/ab67616d0000b2730e65e6dbd7ddfe632198fe77
Momoland,Freeze!,https://i.scdn.co/image/ab67616d0000b2730bd6e251b7e1fad1c1967c34
FTISLAND,Paradise,https://i.scdn.co/image/ab67616d0000b273422412cc4232e6c5b917914d
