day,drama,release,artist,title,spotify,year,month
1,Falsity,OST Pt.1,Suran,어디있나요,https://play.spotify.com/album/119ce38FiaC3WBQkiQg4Iw,2017,8
1,The King In Love,OST Pt.3,Kim Yeon Ji,Do You Know,https://open.spotify.com/album/45xQfPMwdqIfgDzyB3HDMZ,2017,8
1,Unknown Woman,OST Pt.1,KissN,가져가,http://apple.co/2vdCoeW,2017,8
2,Criminal Minds,OST Pt.1,Flowsik,Higher Plane,None,2017,8
2,Reunited Worlds,OST Pt.2,Taru,You In Front Of Me,https://play.spotify.com/album/543fsCaaz1Nlxyl3krkvsy,2017,8
3,Reunited Worlds,OST Pt.3,SE O,Sad Heart,https://play.spotify.com/album/52tri3F62zMWluTnvK8XsL,2017,8
4,Queen For Seven Days,Full OST,Various Artists,-,https://play.spotify.com/album/26zQqWaKqlLpvUekoJX6F2,2017,8
4,The Best Hit,Full OST,Various Artists,-,https://play.spotify.com/album/0uhrhQIhrJ4C16x5vc8AXJ,2017,8
5,Strongest Delivery Man,OST Pt.1,Jang Jane,Must Have,https://play.spotify.com/album/2RNGqqTc7bljCnnNG1oCHZ,2017,8
5,Woman of Dignity,OST Pt.8,The NuTs,Why,https://play.spotify.com/album/1vDZQq19GLi6hRzViTOuW4,2017,8
7,Bride of the Water God,OST Pt.5,Junggigo,Reminds Me Of,https://play.spotify.com/album/2y7Cyqm8umLbcFvinDNJKc,2017,8
7,School 2017,OST Pt.4,"Taeil, Doyoung, Taeyong (NCT)",Stay In My Life,https://play.spotify.com/album/2eboYYUIZ8fUte5BlrsUxt,2017,8
8,School 2017,OST Pt.5,Maktub,Closer To You,https://play.spotify.com/album/1IaZ7KkA7DROMitYtvmkQb,2017,8
8,The King In Love,OST Pt.4,Im Siwan,My Heart,https://play.spotify.com/album/3qJqIsl9TlU4EbDc0dXMbI,2017,8
9,Lovers In Bloom,OST Pt.9,Serri (Dal Shabet),설레이나봐 (Feat. Lee Do Hoon),http://apple.co/2vTUWmk,2017,8
9,Manhole,OST Pt.1,Louie (Geeks),Airplane (ft. Hayana),https://play.spotify.com/album/10REGLnOH1t78Q27wadBNx,2017,8
9,Reunited Worlds,OST Pt.4,Yun Ddan Ddan,We Will Meet Again,https://play.spotify.com/album/7m2MIYuNJ41DLoIkud1kqB,2017,8
9,Strongest Deliveryman,OST Pt.2,Go Kyungpyo,Lalala,https://play.spotify.com/album/4daiVphl0CbJYlG3r3nmAc,2017,8
