day,time,artist,album,type,title,spotify,apple,year,month
1,12:00,Yesung (Super Junior) X Cheon Dan Bi,"Today, a bit more",digital single,"Today, a bit more",None,http://apple.co/2wtbCDH,2017,8
1,18:00,Apple.B,Woochuchu,debut digital single,Woochuchu,https://play.spotify.com/album/5XzZWqCCbgnZzxnS9Z0WXH,http://apple.co/2x23K9X,2017,8
1,18:00,Gfriend,Parallel,mini album,Love Whisper,https://play.spotify.com/album/2cGPXPXZxEBr6LniuA3ewf,http://apple.co/2wduWVy,2017,8
1,18:00,Joo Won Tak,Baby Goodnight,fan song,Baby Goodnight (ft. Suyeon of A.De),https://play.spotify.com/album/7DjGTXglP5WxgWYIXk5mbt,http://apple.co/2vd3uTC,2017,8
1,18:00,Park Kyung (Block B),Space Oddity Project Vol.1,digital single,WIPED,https://play.spotify.com/album/4MLjhbngkk4plmxmi8ZwAi,http://apple.co/2uTGf5L,2017,8
2,0:00,SF9,Easy Love,Japanese single album,Easy Love,https://play.spotify.com/album/6XDUmZsyIFwQpnndwBRzLW,None,2017,8
2,12:00,ONF,ON/OFF,debut mini album,ON/OFF,https://play.spotify.com/album/5LXE3uv4h0im6sPvMG89pG,http://apple.co/2fW3k0C,2017,8
2,16:00,Samuel,Sixteen,debut mini album,Sixteen (feat. Changmo),https://play.spotify.com/album/37Jg3LrnbKrMxNT5RjgUGt,http://apple.co/2vONhaw,2017,8
2,18:00,N.Flying,THE REAL: N.Flying,mini album,THE REAL,https://play.spotify.com/album/4xUc0Rh3ULTblrirfHnwKu,http://apple.co/2ifCYHR,2017,8
3,12:00,AA,Flex,debut digital single,FLEX,None,http://apple.co/2ihmiQo,2017,8
3,12:00,THE ROSE,Sorry,debut digital single,Sorry,https://play.spotify.com/album/6D48tHXsa6LzoViDIACdkt,http://apple.co/2x2qyWW,2017,8
3,12:00,Tritops,zinnia,digital single,zinnia,https://play.spotify.com/album/5gdvjzqr2SFchJE2WTJp9j,http://apple.co/2vOkBhQ,2017,8
3,18:00,CLC,FREE'SM,mini album,Where are You?,https://play.spotify.com/album/4UXgZzt4Zbc4Vg4Ll61ZXh,http://apple.co/2ihLbuW,2017,8
3,18:00,Nine Muses,Muses Diary Part.3 LOVE CITY,repackage mini album,LOVE CITY,https://play.spotify.com/album/7wDJe5Y34uwZW7sNNTnlxx,http://apple.co/2wsQ8H9,2017,8
3,18:00,"Huh Gak, Apink, VICTON",Plan A Third Episode,Plan A project single,OASIS,https://play.spotify.com/album/1BNyLtvQCyyCYSUAaLnElz,http://apple.co/2vP8Yr1,2017,8
4,12:00,B.HEART,Summer Night,digital single,Summer Night (feat. Eunji),https://play.spotify.com/album/2SJuhkogza07uS98HZwZqU,None,2017,8
4,12:00,Drug Restaurant,Pomade,mini album,Drink O2 in the Water,None,http://apple.co/2uUe6vc,2017,8
4,12:00,Primary,New Generation,mini album,"~42 (feat. Sam Kim, eSNa)",https://play.spotify.com/album/25DwzsTZrbsUWFK2FYf0Mp,None,2017,8
4,12:00,Real Girls Project,PINGPONG GAME,digital single,PINGPONG GAME,https://play.spotify.com/album/4VozTpp5xHQRL7EvyJbsY5,http://apple.co/2wt2aQs,2017,8
4,16:00,WINNER,Our Twenty For,single album,Love Me Love Me / Island,https://play.spotify.com/album/3s5LEazLAxgYZSFdG98rHw,http://apple.co/2xfpwpY,2017,8
4,18:00,SNSD,Holiday Night,10th anniversary full-length album,All Night / Holiday,https://play.spotify.com/album/5MQM8Jw1FvT21Dny8cOXjF,http://apple.co/2vvTsAL,2017,8
5,12:00,Yoo Young Jin X NCT's Taeyong,CURE,SM STATION 2 project single,CURE,https://play.spotify.com/album/0OJix83FcgJ7m1ro4bDGhM,http://apple.co/2wkK3Nq,2017,8
6,18:00,NO:EL,Supplement,debut pre-release double single,I Don't Give a Fuck (feat. SWINGS),https://play.spotify.com/album/6Cca09ytGj9vd0McoccqAw,http://apple.co/2x2eLbn,2017,8
6,18:00,Various Artists,Show Me The Money 6  Ep.1,Team Performances,(Four Team Songs),https://play.spotify.com/album/2B9I38E4rXdaXsaXC5mBlE,http://apple.co/2wt2uPu,2017,8
7,12:00,ALi X Cheetah,Don't Speak,digital single,Don't Speak,https://play.spotify.com/album/0t2QwxHCJYofiUKzcbJhEj,http://apple.co/2ihoTK9,2017,8
7,12:00,BLANC7,worldwide,single album,HELLO,https://play.spotify.com/album/6yOLGx9gG8bPxErGEqHbZX,http://apple.co/2uUkhPG,2017,8
7,12:00,DAY6,What Can I Do,Every DAY6 project single,What Can I Do,https://play.spotify.com/album/2saTCXsAZGCMODcXIsc9j9,http://apple.co/2x1XdMl,2017,8
7,12:00,QUEENDOM,QUEENDOM's Party Vol.1,debut digital single,Fly High,None,None,2017,8
7,18:00,Wanna One,1X1=1(TO BE ONE),debut mini album,Energetic,https://play.spotify.com/album/6sQ2Gukev7VHstYs30LRAu,http://apple.co/2wdpqSU,2017,8
8,12:00,Elado,해요,debut digital single,해요,None,http://apple.co/2xfad0s,2017,8
8,18:00,Eddy Kim,Now,Seo Taiji Time:Traveler project single,Now,https://play.spotify.com/album/2qQbFiA70nqRmiB0zNa1w3,http://apple.co/2wkRPHc,2017,8
8,18:00,Juniel,Last Carnival,digital single,Last Carnival,https://play.spotify.com/album/6vAVUBgAUBWGrZyXIlrbvR,http://apple.co/2vdj7u7,2017,8
8,18:00,Weki Meki,WEME,debut mini album,I don't like your Girlfriend,https://play.spotify.com/album/6AMAirFub1064lnkEyp7Uh,http://apple.co/2ifUU52,2017,8
9,0:00,Jang Keun Suk,Voyage,Japanese full-length album,Voyage,https://play.spotify.com/album/6GCyRbUNgbeikjA2nWck6E,http://apple.co/2wsTAkH,2017,8
9,0:00,Jung Yonghwa (CNBLUE),Summer Calling,Japanese full-length album,Summer Dream,https://play.spotify.com/album/5ykbYNKa6tairhUt0aiusH,http://apple.co/2wsMrRA,2017,8
9,12:00,Sung Hoon (Brown Eyed Soul) X Skull,Re-Luv,digital single,Re-Luv,https://play.spotify.com/album/5yVT6jgA99BVYEpwvpXUSH,http://apple.co/2fWaJNE,2017,8
9,12:00,Yang Dail X Seventeen's DK,Cinematic Love,digital single,Cinematic Love,https://play.spotify.com/album/5fbA8bYGGb7m5h2dQfR7RQ,http://apple.co/2igYFYa,2017,8
9,18:00,Boyfriend,NEVER END,mini album,Star,https://play.spotify.com/album/51KY6Rydb1IdM6SBv9UZlT,http://apple.co/2v3i3d0,2017,8
9,18:00,Jessica,My Decade,mini album,Summer Storm,https://play.spotify.com/album/5LIwldbIgzrq9VGLyhWwA1,http://apple.co/2vOVjQU,2017,8
10,12:00,BeBe6,Shot Me,debut digital single,Shot Me,None,None,2017,8
10,12:00,Ra.D,Drive Away 2,digital single,Drive Away 2,https://play.spotify.com/album/19rBJf7jMZkc8mQ7HphDEy,http://apple.co/2wt0Ugi,2017,8
10,12:00,Skull X Haha X Lee Sun Bin,Summer Gift 'One Love',digital single,One Love,https://play.spotify.com/album/7LDS5BXSqoOJqFSUl7EQ4i,http://apple.co/2wdqNRy,2017,8
10,18:00,AMOR,Push Baby,debut digital single,Push Baby,None,None,2017,8
10,18:00,Lee Minhyuk (BTOB),Piece of BTOB Vol.5,Piece of BTOB debut project single,Purple Rain (feat. CHEEZE),https://play.spotify.com/album/1dymvKSK96wkIS4rYn21zS,http://apple.co/2wdEBvr,2017,8
10,18:00,OGUOGU (gugudan),ICE CHU,unit debut digital single,ICE CHU,https://play.spotify.com/album/3uANATuTqvsbIBcAAhhMia,http://apple.co/2wsJKQ4,2017,8
11,12:00,Moon Hyuna X Euaerin,Doong Doong,digital single,Doong Doong,https://play.spotify.com/album/10kZwxOrWK74nMuEl2ZjCo,http://apple.co/2vU7Hxq,2017,8
11,18:00,PENOMECO,HUNNIT,SM STATION 2 project single,HUNNIT,https://play.spotify.com/album/0CYP2cRI5HVaiCXXzNLFFN,http://apple.co/2vdtdLr,2017,8
12,0:00,Yultron X Jay Park X Bone Thugs,Thuggin 4 My Baby,digital single,Thuggin 4 My Baby,https://play.spotify.com/album/1PyiN3mCOhaZZpRzlxfenc,http://apple.co/2wkLOu7,2017,8
12,12:00,BP Rania,Refresh 7th,mini album,Beep Beep Beep,None,http://apple.co/2wkLRpN,2017,8
12,12:00,Z-uK,Push&Pull,solo debut digital single,Push&Pull,None,http://apple.co/2vdhCfz,2017,8
13,18:00,Cosmic Girl,I'm OK,digital single,I'm OK,None,None,2017,8
13,18:00,myunDo,"RBG pt.(0,0,0)",RGB Series mini album,82 God / Phrrrr,https://play.spotify.com/album/3tXU3EaYWYP6PL1tdRrHE6,http://apple.co/2v2AezD,2017,8
13,18:00,Various Artists,Show Me The Money 6  Ep.2,TV Performances,"Where U At (by Killagramz, ft. Dean & Zico / Lobby (by Hanhae, ft. Chungha & Muzie)",https://play.spotify.com/album/07GQqaj7acCDFds49oRIQQ,http://apple.co/2xfqDWV,2017,8
14,12:00,DJ Juice,Love Me Harder,digital single,Love Me Harder (feat. Skull & Sanchez),https://play.spotify.com/album/6a5Y2fiD0HgswxfQWkRAPV,http://apple.co/2vP5yo2,2017,8
14,12:00,Tymee,우주라잌,digital single,우주라잌,None,None,2017,8
14,6pm,Sonamoo,Friday Night,HAPPY BOX project single,Friday Night,https://play.spotify.com/album/18p0yFezAwqVjfYM316QTB,http://apple.co/2wl0c5r,2017,8
16,0:00,iKON,NEW KIDS: BEGIN,Japanese mini album,B-DAY / BLING BLING,None,None,2017,8
16,12:00,H.B.Y,Make it ride,debut single album,Make it ride,None,http://apple.co/2wllUq1,2017,8
16,12:00,JuB (Sunny Hill) X JQ,난 또..,digital single,난 또..,None,None,2017,8
16,18:00,DinDin,#Drive,digital single,#Drive (ft. Yoo Yeonjung (WJSN)),https://play.spotify.com/album/6RjternklcpT9N7YvRajt0,None,2017,8
16,18:00,Suran,Sad Pain,Seo Taiji Time:Traveler project single,Sad Pain,https://play.spotify.com/album/7leggjXrUh9Nj4CSHOzTWC,http://apple.co/2wsZJgZ,2017,8
16,18:00,Tae Hye Young,Sugar Sugar Darling,digital single,Sugar Sugar Darling (feat. Kwak Soo Jin),None,http://apple.co/2wsPjxH,2017,8
