day,drama,release,artist,title,spotify,year,month
2nd,Strongest Deliveryman,OST Pt.8,Sohyang,Home,https://play.spotify.com/album/6I68Vv2AnnyPa0FQvojXJs,2017,9
3rd,"Live Up to Your Name, Dr. Heo",OST Pt.3,The Barberettes,Beauty Queen,https://play.spotify.com/album/1J2JsL63AJquAbW2YEPXCw,2017,9
5th,Lovers In Bloom,OST Pt.13,Gilme,Tired of Love,https://play.spotify.com/album/0uRuF6dxF9PJ5e3552ayPQ,2017,9
1st,Musical Seopyeonje 2017,Musical OST,Kang Pil Suk,In Your Eyes,https://play.spotify.com/album/6vvru4hwWBxgUEHNGnKqEr,2017,11
1st,While You Were Sleeping,OST Pt.10,Jeong Joon Il,IF,https://play.spotify.com/album/5X7wlRlXhsBPu3WhsDccWY,2017,11
1st,Prison Playbook,OST Pt.3,Park Boram,Like A Dream,https://play.spotify.com/album/3pcwkTF9LdSxNROH4sofFg,2017,12
3rd,Revolutionary Love,Full OST,Various Artists,-,https://play.spotify.com/album/47T6Yl2QvWxGyakPwfQyyR,2017,12
3rd,Witch At Court,OST Pt.6,Yoon Hyun Min,That You Loved Me,None,2017,12
4th,Happy Sisters,OST Pt.2,Tae.1,Look At You,https://play.spotify.com/album/2JIY4DuhhIyIQ3u15QGh9O,2017,12
4th,Rude Miss Young Ae 16,OST Pt.1,Kim Hyun Jung,Star,None,2017,12
4th,Two Cops,OST Pt.1,VOISPER,Let's Not Ask,https://play.spotify.com/album/5ZaIfjQkV14KuxCpVYNIXo,2017,12
5th,Jugglers,OST Pt.1,Soyeon (Laboum),Cosmic Girl,https://play.spotify.com/album/3dQLKrIj5yLWojQChX9aMK,2017,12
5th,Rude Miss Young Ae 16,OST Pt.2,Acousweet,Brighter Day,None,2017,12
6th,Black Knight,OST Pt.1,Maktub X Seo Young Eun,Please Love Me,https://play.spotify.com/album/3GoQyi7GKg2LfR34z0gkc7,2017,12
6th,Judge Vs Judge,OST Pt.2,Lucia,This Much,https://play.spotify.com/album/5LYylfMFu67tRkw97Bze3I,2017,12
6th,Prison Playbook,OST Pt.4,Eric Nam,Bravo! My Life,https://play.spotify.com/album/61keMFoOYVGIAJmDUtilZB,2017,12
9th,The Most Beautiful Goodbye,OST,Gummy,Angel,https://play.spotify.com/album/46q4xAzAjGjnJH0YdHskoy,2017,12
10th,Andante,OST Pt.6,Kim EZ,Sunshine,https://play.spotify.com/album/6Unjex9XQETeYToXpgvdFk,2017,12
11th,Happy Sisters,OST Pt.3,Seung Min,One Two Three,https://play.spotify.com/album/3kvawQP2XNzqir6jsJIu7L,2017,12
1st,I'm Not A Robot,Full OST,Various Artists,-,https://play.spotify.com/album/54TtFt1d6weyuvh8X3Kjga,2018,2
1st,Mother,OST Pt.1,Kim Yuna,To You,https://play.spotify.com/album/6A07D2ltKfr5CDpPXhIpJY,2018,2
2nd,Flower Ever After,OST Pt.2,Kwon Jinah,Behind the Page,https://play.spotify.com/album/01Sf7aCZsXLGYFMMMdBHps,2018,2
3rd,A Korean Odyssey,OST Pt.6,Ben,If I Were Destined,https://play.spotify.com/album/2wvAeSSqPOJdNGopeVPkbs,2018,2
3rd,"Oh, The Mysterious",OST Pt.4,Kim Shin Eui,Something I Couldn't Do,https://play.spotify.com/album/21lPEj874Ij024c0akT0l7,2018,2
4th,Bad Guys: Vile City,Full OST,Various Artists,-,https://play.spotify.com/album/42bpKQNl0ikzNOq3aK20iV,2018,2
4th,My First Love,OST Pt.5,Postmen,Where We First Met,https://play.spotify.com/album/4hP4QtL3wnlO5WxZGLVAuL,2018,2
1st,Rich Family's Son,OST Pt.2,Bae Gi Sung,Oppa Go Go,None,2018,4
1st,Life On Mars,OST Pt.1,Patrick Joseph,Agnes,https://play.spotify.com/album/49R2N7OAXcforGEn0bzStp,2018,7
1st,Sunny Again Tomorrow,OST Pt.8,Woo Eun Mi,The Memory Of You,https://play.spotify.com/album/0Yzsur6KGhd5nXvMWY91O3,2018,7
2nd,I Am the Mother Too,OST Pt.2,Alex,Hold Me,https://play.spotify.com/album/7DATNTJvizxc9jhNayFYHm,2018,7
2nd,Miss Hammurabi,Full OST,Various Artists,-,https://play.spotify.com/album/3ljrG69uMTRp2vTfdqh7qD,2018,7
2nd,Investigation Couple,OST Pt.6,Hangzoo X Stella Jang,White Rain,https://play.spotify.com/album/1Uw9AYjSFge35j98cYEwVz,2018,7
3rd,Are You Human?,OST Pt.4,2BiC,Heart,https://play.spotify.com/album/5aksluN1CtmsPBchpy1C4B,2018,7
3rd,Lawless Lawyer,Full OST,Various Artists,-,https://play.spotify.com/album/0TsnSRGnNDWDAnTFUAlOCG,2018,7
1st,Your Honor,OST Pt.1,Jung In,Comfort,https://play.spotify.com/album/31JOHFrOG8LWz8t0PfoNRf,2018,8
2nd,Time,OST Pt.1,Gaho (PLT),Time,https://play.spotify.com/album/7m3MqeQM9dARfgChd39Wya,2018,8
3rd,My ID Is Gangnam Beauty,OST Pt.1,"Weki Meki, RUNY",Love Diamond / True,https://open.spotify.com/album/7c8dEOlWj2yTTOwB7hGt7V,2018,8
4th,Goodbye To Goodbye,OST Pt.6,Mackelli,Tear Drop,https://play.spotify.com/album/1ohTwPY6qqTi7fXvcLTPtQ,2018,8
4th,Let Me Introduce Her,OST Pt.3,Lee Jinsol (April),This Love,https://play.spotify.com/album/0vxaxhPA5NevspknzjQeG4,2018,8
4th,Sunny Again Tomorrow,OST Pt.14,Ju Wontak (Rainz),A Shy Confession,https://play.spotify.com/album/73XR43yKeeAnQ4X6fVQa9A,2018,8
5th,A-TEEN,OST Pt.2,So Soo Bin,I'll Be Your Star,https://play.spotify.com/album/0vRTiHetZUMy6HGswfv73J,2018,8
1st,Mr. Sunshine,Full OST,Various Artists,Elaine - Rise Again (feat. Will Bug),https://open.spotify.com/album/2GgtfisvhpNIhRmmusMcwC,2018,10
1st,At The Moment : When Time Stopped,OST Pt.2,"Jeup (Imfact), Imfact",I Promise You / A Perfect Day,https://open.spotify.com/album/5hJanw2k1lVuHMcaBerGbc,2018,11
1st,Love Alert,OST Pt.1,Kim Jong Min,Could I Love Again,https://open.spotify.com/album/0nHoDcZN3FoO1m8ntoUQib,2018,11
1st,Sunny Again Tomorrow,OST Pt.30,Lee Dohun,HOME,https://open.spotify.com/album/61yJmqIkNFuHQA86G0Q3EO,2018,11
1st,The Guest,Full OST,Various Artists,-,None,2018,11
2nd,Do Dream,OST,Jueun (DIA),Lost Star,https://open.spotify.com/album/6MDZEhQMT80KiTI6E1QaRX,2018,11
1st,"Coffee, Do Me A Favor",OST Pt.2,High.D (Sonamoo),Beautiful Girl,https://open.spotify.com/album/2VSIeTCscz40hZoVEUnnhw,2018,12
1st,My Strange Hero,OST Pt.6,Soyeon (Laboum) X DinDin,Is It Love,https://open.spotify.com/album/7kGnqqbZW77obv9X6A4vFK,2019,1
2nd,Best Chicken,OST Pt.1,EB,Sweet Stranger,https://open.spotify.com/album/5ZiKCarjOuxapBZxwyyYMZ,2019,1
1st,Legal High,OST Pt.3,Y & Seungmin (Golden Child),Never,https://open.spotify.com/album/4ZUPreAnOWUdcnN2UM0Get,2019,3
1st,Welcome To Waikiki 2,OST Pt.2,Gu Yoon Heo,OMG!,https://open.spotify.com/album/5pJ72i3Lq3n0p3651jEz54,2019,4
1st,He Is Psycometric,Full OST,Various Artists,-,https://open.spotify.com/album/6RhakRNEHx5wlOcmbo3r0g,2019,5
2nd,Girl Cops,OST,Ran Mi Ran X Lee Sungkyoung,Show Time,None,2019,5
2nd,Her Private Life,OST Pt.4,Lee Hae Ri (Davichi),Maybe,https://open.spotify.com/album/0O5sEO1Uu8t5Yc8sf3CLWr,2019,5
2nd,Possessed,Full OST,Various Artists,-,None,2019,5
3rd,Beautiful World,OST Pt.2,Tiger JK X Bizzy,A Beautiful Lie,https://open.spotify.com/album/4e1nlVWI0VspK5uVRWXF4x,2019,5
1st,Perfume,OST Pt.8,Park Bom,I Do I Do,https://open.spotify.com/album/7ytHttqe8psh1j0RDwd7Bi,2019,7
1st,The Secret Life of My Secretary,Full OST,Various Artists,-,https://open.spotify.com/album/6rZe8gESYYq6yXP4iDFa9d,2019,7
1st,The Wind Blows,OST Pt.5,Hong Dae Kwang,If You Love Me...,https://open.spotify.com/album/4msueriZ4PG6xthEJK6sNr,2019,7
2nd,Partners For Justice 2,OST Pt. 2,Minue,Dr.K,https://open.spotify.com/album/3YkPJl0sbh8QWcycXIUndG,2019,7
